1.00_10,1.00_20,1.00_40,1.00_60,2.80_10,2.80_20,2.80_40,2.80_60,3.00_10,3.00_20,3.00_40,3.00_60,3.50_10,3.50_20,3.50_40,3.50_60,4.00_10,4.00_20,4.00_40,4.00_60
2,7,12,16,5,41,194,329,3,56,310,507,45,261,488,793,102,131,243,328
0,1,15,10,2,48,178,284,3,55,304,467,38,265,494,730,89,146,266,333
1,4,13,11,7,42,154,302,3,60,304,514,27,228,444,777,101,117,294,303
0,3,8,9,2,41,169,266,3,48,271,444,41,219,443,743,99,114,254,304
1,2,7,6,5,29,156,260,10,54,261,405,39,232,453,700,93,118,276,313
0,4,5,4,1,25,146,221,2,35,253,420,29,213,433,739,88,121,280,275
1,3,8,7,2,30,152,230,5,42,220,404,30,198,461,708,97,101,233,334
0,3,6,9,3,26,126,216,5,37,218,388,32,216,431,744,83,116,269,279
0,1,5,9,3,26,125,222,0,29,211,368,27,200,417,655,78,121,245,282
0,0,8,7,3,29,119,189,2,28,186,357,24,192,435,685,77,111,263,283
0,3,6,5,4,24,108,146,3,34,194,301,21,212,407,695,88,119,266,248
0,0,6,4,4,21,103,176,2,44,177,323,19,197,369,669,79,125,255,252
0,3,2,4,3,23,102,177,2,31,183,252,18,183,385,644,66,113,253,253
0,2,4,2,4,27,99,159,3,27,173,273,20,201,387,645,90,105,229,249
0,1,2,3,5,17,78,173,4,29,147,283,26,195,372,629,78,124,228,293
0,0,2,3,2,25,96,131,4,19,160,250,19,186,383,625,96,112,245,290
0,1,1,5,2,13,101,116,1,22,142,254,25,178,385,605,65,108,226,256
0,1,3,1,4,19,64,134,2,26,134,232,19,190,351,583,79,87,237,257
0,2,2,2,0,17,67,116,3,24,120,253,14,187,381,560,71,115,235,259
0,1,2,3,0,17,78,112,0,19,118,207,18,171,329,524,81,91,232,249
0,0,4,1,2,16,60,93,2,16,128,187,21,175,382,579,65,103,215,242
0,0,2,0,1,9,56,99,2,12,111,196,17,141,340,536,74,100,210,247
0,1,6,1,2,12,53,90,2,21,107,154,25,153,325,574,80,108,225,206
0,0,1,2,1,13,62,86,0,11,101,192,11,159,315,537,56,98,201,256
0,0,1,1,3,15,39,74,0,13,110,167,18,166,284,540,77,98,213,247
0,1,0,2,1,10,51,72,2,21,96,153,9,152,291,508,65,98,199,245
0,0,0,2,0,10,53,79,3,14,91,165,12,145,319,500,53,97,186,232
0,0,1,0,3,7,39,87,2,7,90,149,19,146,296,482,70,71,225,268
0,0,0,0,0,5,39,70,2,17,83,165,11,107,311,501,67,91,183,217
0,0,2,1,0,7,37,57,0,15,75,145,19,144,280,510,61,79,205,222
0,1,4,1,1,5,33,66,1,9,67,98,7,139,293,453,58,83,200,206
0,0,0,1,0,6,27,48,0,10,62,112,13,116,309,498,62,82,166,223
0,1,2,1,2,6,32,43,2,7,80,130,13,152,298,469,67,84,182,238
0,0,0,1,1,9,28,37,0,14,78,94,8,157,247,475,63,93,204,223
0,0,0,0,0,4,33,42,1,6,61,119,11,163,297,464,73,66,156,224
0,1,0,1,0,12,21,41,0,11,59,94,18,127,269,434,59,96,191,224
0,1,1,0,0,9,26,45,0,11,59,107,10,129,272,469,40,88,178,203
0,0,0,1,1,1,26,44,1,9,36,86,14,135,263,427,49,82,173,203
0,0,0,0,0,4,30,26,0,2,52,92,7,117,247,385,62,75,181,193
0,0,0,1,1,3,18,40,0,8,49,71,8,118,263,412,64,77,176,215
0,0,0,0,0,6,13,37,0,9,39,76,10,126,270,408,65,78,200,209
0,0,0,0,0,7,15,38,1,9,31,85,10,114,249,415,49,74,186,190
0,0,1,0,0,2,20,35,1,13,46,59,8,118,251,377,56,79,176,185
0,0,0,0,0,6,24,36,0,4,43,58,5,102,224,411,51,62,163,184
0,0,1,0,1,5,18,20,0,10,28,71,6,109,212,369,42,78,164,176
0,0,1,0,0,3,17,27,1,7,34,57,5,114,229,381,59,70,140,176
0,1,0,0,1,3,14,26,0,5,33,51,6,104,220,379,61,60,157,172
0,0,0,0,0,7,24,25,0,4,40,52,5,125,228,342,66,77,163,213
0,0,0,0,0,5,13,14,0,6,32,64,1,122,218,348,43,73,155,197
0,0,0,0,0,5,7,21,0,5,29,47,8,98,234,380,40,75,158,193
0,0,0,0,0,1,12,20,0,5,21,42,5,100,194,349,52,81,171,165
0,0,0,0,0,2,7,17,0,5,33,49,5,108,199,361,46,88,141,184
0,0,2,0,0,1,11,21,1,4,21,52,8,93,218,339,44,62,153,157
0,0,0,0,0,6,11,18,0,3,17,48,1,99,190,370,42,62,153,179
0,0,1,0,0,1,14,9,0,4,26,43,5,105,202,337,49,62,143,188
0,0,1,0,0,2,11,16,0,1,22,32,6,99,197,346,48,67,130,150
0,0,0,1,0,3,9,16,0,2,23,33,2,90,199,315,54,72,148,208
0,0,0,0,0,2,12,9,0,0,23,32,0,102,194,348,53,59,169,158
0,0,0,0,0,2,11,9,1,0,17,34,3,81,204,323,49,64,120,172
0,0,0,0,0,1,10,12,0,2,14,19,6,82,185,303,47,60,151,169
0,0,0,0,0,2,5,7,0,2,19,29,6,90,191,314,43,61,160,141
0,0,0,0,0,1,5,12,0,2,22,27,4,96,187,340,48,57,141,179
0,0,0,0,0,1,8,10,0,1,19,21,3,86,220,294,40,57,145,184
0,0,0,0,0,0,7,6,0,2,13,28,6,98,170,317,39,56,152,166
