1.00_10,1.00_20,1.00_40,1.00_60,2.80_10,2.80_20,2.80_40,2.80_60,3.00_10,3.00_20,3.00_40,3.00_60,3.50_10,3.50_20,3.50_40,3.50_60,4.00_10,4.00_20,4.00_40,4.00_60
5369.883841711353,9619.163074971593,62246.49230251461,11182.97317346523,21469.930296982933,8663.824140127475,49228.92298435215,20009.216257572978,6509.757701084927,29068.65641506839,20087.88250779102,27969.953603583115,8694.368649160939,6190.577001810147,7259.841585550059,9337.087645527521,1132.617819059756,1259.3967721392607,940.1114105060288,989.3180803197243
4367.845790031339,7818.330003989805,60293.19765318623,8509.611877379028,20795.78176052845,6987.156536924431,47691.41623610376,16281.580137193192,5372.857981055723,28159.692322235744,17110.859770814495,24189.56201389651,7772.115326320215,5611.79415750268,6698.169518509656,8751.70342537072,1075.8756746482413,1201.2632322596555,914.9515182941757,963.6122339771516
3556.5867235611963,6361.433935067194,58512.97310577704,6482.954295598103,20181.40011476195,5641.074985212475,46289.54851284761,13262.531096890874,4439.12326145638,27331.00589334963,14589.168028771845,20939.61153462455,6953.481031992808,5091.115065550586,6184.364049669744,8208.26785331826,1022.5548108636922,1146.432664610954,891.7456702937303,939.8594439895902
2898.801766821725,5181.023917688631,56881.68058959741,4944.208896701953,19618.445218292167,4558.777134473266,45004.47789192355,10813.717326366217,3671.1070494828086,26571.434227012145,12450.026281764018,18141.592907176182,6225.775698880036,4622.034298481282,5713.674140187662,7703.0546535959575,972.3771861058037,1094.643182922555,870.2499588354199,917.8199706063643
2364.745101710995,4223.352794776898,55379.64707061767,3774.3176168026584,19100.120448396345,3687.406179858945,43820.83489869354,8824.783670015218,3038.5596296799163,25871.87360927144,10633.02296678149,15729.52532834038,5578.068730682205,4198.898650507844,5281.933750920771,7232.77972382357,925.0974831321847,1045.6638190843312,850.2615118270535,897.2938861413016
1930.6242111687138,3445.45956788032,53990.65574910136,2883.7716661786494,18620.82380613366,2985.0118671079344,42725.94066743812,7207.431099078243,2516.9653967399727,25224.815472601582,9087.83199389937,13647.743187506245,5000.90203655869,3816.7710076079743,4885.469192570278,6794.530203698621,880.4977242767302,999.289384763264,831.6099523607116,878.1128747081005
1577.3567587313005,2812.911810100303,52701.20255596525,2205.1185096125373,18175.890815093422,2418.2116158838253,41709.23005161264,5890.816592387975,2086.3997794335946,24624.004096338114,7772.397416805808,11849.126584281683,4486.059319635081,3471.3210346894766,4521.025070720952,6385.708142909051,838.3830211725157,955.3364231865459,814.1509484542205,860.1340220387093
1289.6017462516043,2298.0471214293084,51499.939243987945,1687.4211610102495,17761.401971034506,1960.3788867619091,40761.81906620915,4817.9670146900135,1730.6294500673202,24064.180014095386,6651.478053753156,10293.673178043004,4026.378446667055,3158.736308119026,4185.704309576522,6003.985152220679,798.5781738568148,913.6399760200019,797.761271076449,843.2350452171361
1055.0001107361584,1878.5954996196895,50377.25013810786,1292.1435149689257,17374.03642251219,1590.232238828763,39876.175835217065,3942.9674413146067,1436.3996595195385,23540.884866566663,5695.472009171019,8947.33609393016,3615.597316400859,2875.6492826034596,3876.9190068135786,5647.265450285909,760.924915953442,874.0509693927668,782.3349585982238,827.3105813664322
863.576555027121,1536.594825241288,49324.92621440995,990.0833726595849,17010.95931151828,1290.731271329843,39045.86698904106,3228.745810779652,1192.866780256292,23050.311033106784,4879.461176200587,7781.071627027214,3248.226128895126,2619.0766944371567,3592.3497416528135,5313.655421244092,725.2796583600943,836.4340769752886,767.780304983495,812.2692666387455
