uniform_250,uniform_350,gaus_250,gaus_350,3.50_60
0,10,0,14,13
0,13,0,9,14
0,9,0,14,8
0,11,0,16,5
0,8,0,9,16
0,6,0,13,10
0,14,0,16,14
0,6,0,9,9
0,2,0,7,12
0,6,0,8,17
0,4,0,7,10
0,7,0,7,10
0,9,0,9,12
0,7,0,14,8
0,3,0,9,12
0,10,0,12,13
0,13,0,11,12
0,7,0,12,8
0,12,0,8,10
0,5,0,12,7
0,6,0,9,5
0,7,0,10,4
0,6,0,10,15
0,9,0,8,5
0,12,0,15,9
0,3,0,10,11
0,10,0,12,10
0,12,0,12,9
0,14,0,9,13
0,11,0,13,5
0,3,0,10,13
0,12,0,14,11
0,6,0,11,8
0,7,0,6,10
0,3,0,16,8
0,7,0,10,7
0,8,0,12,12
0,7,0,10,18
0,11,0,9,9
0,8,0,9,12
0,15,0,12,17
0,4,0,6,7
0,8,0,11,5
0,12,0,13,12
0,7,0,14,5
0,4,0,8,4
0,3,0,11,5
0,5,0,5,6
0,11,0,11,11
0,10,0,13,12
0,8,0,11,12
0,5,0,12,9
0,7,0,10,7
0,9,0,9,8
0,11,0,14,9
0,4,0,13,4
0,2,0,17,7
0,3,0,9,10
0,4,0,5,3
0,8,0,18,9
0,10,0,13,7
0,6,0,9,11
0,8,0,10,12
0,6,0,5,5
0,4,0,9,8
0,7,0,11,3
0,4,0,14,9
0,10,0,7,3
0,8,0,8,9
0,2,0,13,8
0,6,0,13,7
0,1,0,13,9
0,9,0,9,7
0,12,0,9,14
0,3,0,9,9
0,7,0,10,6
0,5,0,7,1
0,5,0,5,10
0,10,0,9,6
0,9,0,7,5
0,6,0,7,11
0,2,0,7,12
0,6,0,10,9
0,4,0,9,14
0,8,0,4,5
0,8,0,13,10
0,4,0,5,6
0,6,0,11,7
0,11,0,14,7
0,8,0,16,13
0,4,0,11,6
0,6,0,13,10
0,6,0,10,8
0,7,0,10,7
0,7,0,7,10
0,6,0,5,7
0,4,0,9,6
0,2,0,13,5
0,4,0,8,9
0,4,0,9,6
0,10,0,8,12
0,5,0,15,6
0,8,0,10,7
0,7,0,14,13
0,8,0,10,6
0,9,0,4,9
0,9,0,11,10
0,10,0,12,9
0,8,0,7,7
0,9,0,6,10
0,4,0,14,10
0,5,0,13,14
0,8,0,12,11
0,12,0,8,4
0,6,0,11,13
0,4,0,7,6
0,4,0,5,8
0,5,0,10,5
